        日期      開盤      最高      最低      收盤     成交量     成交值   成交筆數
            2020/07/27 12410.000 12804.000 12407.000 12803.000       210183            0            0
            2020/07/28 12834.000 12900.000 12322.000 12391.000       309435            0            0
            2020/07/29 12446.000 12656.000 12392.000 12646.000       191178            0            0
            2020/07/30 12617.000 12627.000 12434.000 12590.000       193314            0            0
            2020/07/31 12606.000 12644.000 12455.000 12550.000       186445            0            0
            2020/08/03 12531.000 12567.000 12371.000 12492.000       182642            0            0
            2020/08/04 12516.000 12698.000 12489.000 12693.000       150191            0            0
            2020/08/05 12700.000 12875.000 12643.000 12822.000       151501            0            0
            2020/08/06 12856.000 12925.000 12753.000 12866.000       181547            0            0
            2020/08/07 12860.000 12866.000 12706.000 12780.000       148338            0            0
            2020/08/10 12779.000 12905.000 12720.000 12818.000       145756            0            0
            2020/08/11 12825.000 12874.000 12670.000 12699.000       151297            0            0
            2020/08/12 12700.000 12822.000 12565.000 12787.000       172339            0            0
            2020/08/13 12816.000 12836.000 12658.000 12707.000       152306            0            0
            2020/08/14 12696.000 12799.000 12646.000 12761.000       126898            0            0
            2020/08/17 12776.000 13029.000 12771.000 12982.000       133703            0            0
            2020/08/18 12983.000 12998.000 12836.000 12903.000       138314            0            0
            2020/08/19 12905.000 12955.000 12700.000 12720.000        98074            0            0
            2020/08/20 12695.000 12709.000 12067.000 12425.000       294589            0            0
            2020/08/21 12466.000 12598.000 12423.000 12552.000       171558            0            0
            2020/08/24 12568.000 12676.000 12503.000 12633.000       139627            0            0
            2020/08/25 12657.000 12795.000 12643.000 12743.000       140071            0            0
            2020/08/26 12730.000 12884.000 12681.000 12868.000       109620            0            0
            2020/08/27 12838.000 12925.000 12661.000 12728.000       173859            0            0
            2020/08/28 12740.000 12782.000 12634.000 12732.000       170031            0            0
            2020/08/31 12800.000 12826.000 12476.000 12547.000       188335            0            0
            2020/09/01 12566.000 12738.000 12531.000 12735.000       142172            0            0
            2020/09/02 12765.000 12797.000 12595.000 12770.000       170477            0            0
            2020/09/03 12792.000 12858.000 12484.000 12579.000       210318            0            0
            2020/09/04 12558.000 12671.000 12497.000 12581.000       214864            0            0
            2020/09/07 12608.000 12733.000 12537.000 12635.000       160593            0            0
            2020/09/08 12657.000 12699.000 12530.000 12545.000       181926            0            0
            2020/09/09 12545.000 12689.000 12434.000 12663.000       192502            0            0
            2020/09/10 12669.000 12736.000 12592.000 12622.000       169121            0            0
            2020/09/11 12658.000 12689.000 12582.000 12634.000       146053            0            0
            2020/09/14 12694.000 12818.000 12678.000 12796.000       126344            0            0
            2020/09/15 12768.000 12985.000 12756.000 12946.000       118831            0            0
            2020/09/16 12945.000 13018.000 12870.000 12878.000       104041            0            0
            2020/09/17 12855.000 12908.000 12760.000 12831.000       167368            0            0
            2020/09/18 12839.000 12866.000 12735.000 12774.000       130677            0            0
            2020/09/21 12820.000 12877.000 12504.000 12631.000       214080            0            0
            2020/09/22 12627.000 12655.000 12459.000 12569.000       175607            0            0
            2020/09/23 12553.000 12567.000 12386.000 12415.000       163036            0            0
            2020/09/24 12407.000 12414.000 12050.000 12252.000       256816            0            0
            2020/09/25 12265.000 12309.000 12114.000 12267.000       177291            0            0
            2020/09/28 12292.000 12485.000 12246.000 12465.000       131234            0            0
            2020/09/29 12478.000 12522.000 12370.000 12456.000       139376            0            0
            2020/09/30 12456.000 12573.000 12444.000 12530.000       149115            0            0
            2020/10/05 12577.000 12632.000 12486.000 12625.000       124459            0            0
            2020/10/06 12618.000 12733.000 12600.000 12600.000       142903            0            0
            2020/10/07 12620.000 12859.000 12606.000 12841.000       119606            0            0
